author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@pitduck7499;2023-11-20T11:48:51Z;7;Fucking horrifying...;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-mw2wq5vk9y;2023-11-19T19:25:28Z;4;Красунчики❤;fn3KWM1kuAw;True;0;0;0;0;0;0
@JoysLogik;2023-11-19T12:58:29Z;2;Their knees are better than mine;fn3KWM1kuAw;True;0;0;0;0;0;0
@timbilke9361;2023-11-18T15:32:55Z;1;This is f@ke. They are paid actors. However, amazing!;fn3KWM1kuAw;True;0;0;0;0;0;0
@irelgasteiondo767;2023-11-18T12:59:58Z;3;"¡Qué bonito es verles bailando!....antes de firmar contratos con ministerios de ""defensa"", pero...¿Alguien se para a pensar que harán con los humanos en campos de exterminio, como palestina?";fn3KWM1kuAw;True;0;0;0;0;0;0
@mattw3606;2023-11-17T13:36:07Z;3;I love technology;fn3KWM1kuAw;True;0;0;0;0;0;0
@eileenbradley4926;2023-11-17T09:02:14Z;6;Seriously the best thing I have watched in years.;fn3KWM1kuAw;True;0;0;0;0;0;0
@adoboflakes8473;2023-11-16T12:27:14Z;15;They should release a bts with some of the fails. The reason some people think it's fake is because it's almost flawless. Also because they aren't used to seeing machines move with this much fluidity. Show them the trials and errors from beforehand and the naysayers will pipe down. Also BD has been working on these things for decades, y'all should be happy they've come this far. I don't get the negativity and disbelief. If phones and computers can advance so much in 20 years then these things shouldn't be that much of a surprise.;fn3KWM1kuAw;True;0;0;0;0;0;0
@error-bunny4044;2023-11-16T03:43:43Z;0;"I love that they program theses robots to dance,I find it so cute and the robot dog using it's claw to puppet the words ""do you love me?"" Is amazing. 
I love robots.";fn3KWM1kuAw;True;0;0;0;0;0;0
@hugohugo4337;2023-11-16T01:16:18Z;7;I feel sorry for the people who think this is not real* 😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@tejsinghrawat7621;2023-11-16T00:16:29Z;2;Sound, music, singer voice are very very super amazing, once and more time I see,like these robot dance;fn3KWM1kuAw;True;0;0;0;0;0;0
@theflipper8720;2023-11-15T17:44:00Z;4;He got better moves than me;fn3KWM1kuAw;True;0;0;0;0;0;0
@Kaisaris;2023-11-15T14:28:30Z;2;este weon baila mejor que yo :O;fn3KWM1kuAw;True;0;0;0;0;0;0
@billienomates1606;2023-11-15T10:23:53Z;4;I am just waiting for our glorious politicians to allow A.I., sometime in the future, to give full control over to A.I. and then request it to sort out the problems on Earth. Then see their surprise when the A.I. eradicates all humans from the planets surface. Because it identifies the human race in the same way we see a cancer sweeping through a body.;fn3KWM1kuAw;True;0;0;0;0;0;0
@KartikPatel-nt4ff;2023-11-14T13:07:44Z;0;😮😮😮😅😅😮;fn3KWM1kuAw;True;0;0;0;0;0;0
@liquidfire9620;2023-11-14T10:58:50Z;2;Robots got better moves then me;fn3KWM1kuAw;True;0;0;0;0;0;0
@tejsinghrawat7621;2023-11-14T08:58:29Z;1;Fantastic;fn3KWM1kuAw;True;0;0;0;0;0;0
@rihotiivel9432;2023-11-13T14:19:42Z;14;Those who are saying it is fake - look at the glass reflection 0:52 and those robots seem to be quite heavy because the glass walls are shivering when they jump. Also on the second floor some guy is enjoying the robots perfomance.;fn3KWM1kuAw;True;0;0;0;0;0;0
@jakedhale;2023-11-12T21:40:30Z;13;I love to watch all the dumb people cope and say that this is fake, smh;fn3KWM1kuAw;True;0;0;0;0;0;0
@newstalktv828;2023-11-12T10:35:56Z;3;"맨날 춤만 출것인가? 이제 손가락도 만들고 얼굴도 만들고 진짜 로봇으로 가야지
거기에 인공지능까지 만들어야 할듯한데 ,,,,맨날 춤만 춰";fn3KWM1kuAw;True;0;0;0;0;0;0
